__run_id,__done,round,configuration,position_goal,number_obstacles
run_465,DONE,11,12,2,2
run_466,DONE,11,13,2,0
run_467,DONE,11,13,2,2
run_468,DONE,11,14,2,0
run_469,DONE,11,14,2,2
run_470,DONE,11,15,2,0
run_471,DONE,11,15,2,2
run_472,DONE,11,16,2,0
run_473,DONE,11,16,2,2
run_474,DONE,11,17,2,0
run_475,DONE,11,17,2,2
run_476,DONE,11,18,2,0
run_477,DONE,11,18,2,2
run_478,DONE,11,19,2,0
run_479,DONE,11,19,2,2
run_480,DONE,12,0,2,0
run_481,DONE,12,0,2,2
run_482,DONE,12,1,2,0
run_483,DONE,12,1,2,2
run_484,DONE,12,2,2,0
run_485,DONE,12,2,2,2
run_486,DONE,12,3,2,0
run_487,DONE,12,3,2,2
run_488,DONE,12,4,2,0
run_489,DONE,12,4,2,2
run_490,DONE,12,5,2,0
run_491,DONE,12,5,2,2
run_492,DONE,12,6,2,0
run_493,DONE,12,6,2,2
run_494,DONE,12,7,2,0
run_495,DONE,12,7,2,2
run_496,DONE,12,8,2,0
run_497,DONE,12,8,2,2
run_498,DONE,12,9,2,0
run_499,DONE,12,9,2,2
run_500,DONE,12,10,2,0
run_501,DONE,12,10,2,2
run_502,DONE,12,11,2,0
run_503,DONE,12,11,2,2
run_504,DONE,12,12,2,0
run_505,DONE,12,12,2,2
run_506,DONE,12,13,2,0
run_507,DONE,12,13,2,2
run_508,DONE,12,14,2,0
run_509,DONE,12,14,2,2
run_510,DONE,12,15,2,0
run_511,DONE,12,15,2,2
run_512,DONE,12,16,2,0
run_513,DONE,12,16,2,2
run_514,DONE,12,17,2,0
run_515,DONE,12,17,2,2
run_516,DONE,12,18,2,0
run_517,DONE,12,18,2,2
run_518,DONE,12,19,2,0
run_519,DONE,12,19,2,2
run_520,DONE,13,0,2,0
run_521,DONE,13,0,2,2
run_522,DONE,13,1,2,0
run_523,DONE,13,1,2,2
run_524,DONE,13,2,2,0
run_525,DONE,13,2,2,2
run_526,DONE,13,3,2,0
run_527,DONE,13,3,2,2
run_528,DONE,13,4,2,0
run_529,DONE,13,4,2,2
run_530,DONE,13,5,2,0
run_531,DONE,13,5,2,2
run_532,DONE,13,6,2,0
run_533,DONE,13,6,2,2
run_534,DONE,13,7,2,0
run_535,DONE,13,7,2,2
run_536,DONE,13,8,2,0
run_537,DONE,13,8,2,2
run_538,DONE,13,9,2,0
run_539,DONE,13,9,2,2
run_540,DONE,13,10,2,0
run_541,DONE,13,10,2,2
run_542,DONE,13,11,2,0
run_543,DONE,13,11,2,2
run_544,DONE,13,12,2,0
run_545,DONE,13,12,2,2
run_546,DONE,13,13,2,0
run_547,DONE,13,13,2,2
run_548,DONE,13,14,2,0
run_549,DONE,13,14,2,2
run_550,DONE,13,15,2,0
run_551,DONE,13,15,2,2
run_552,DONE,13,16,2,0
run_553,DONE,13,16,2,2
run_554,DONE,13,17,2,0
run_555,DONE,13,17,2,2
run_556,DONE,13,18,2,0
run_557,DONE,13,18,2,2
run_558,DONE,13,19,2,0
run_559,DONE,13,19,2,2
run_560,DONE,14,0,2,0
run_561,DONE,14,0,2,2
run_562,DONE,14,1,2,0
run_563,DONE,14,1,2,2
run_564,DONE,14,2,2,0
run_565,DONE,14,2,2,2
run_566,DONE,14,3,2,0
run_567,DONE,14,3,2,2
run_568,DONE,14,4,2,0
run_569,DONE,14,4,2,2
run_570,DONE,14,5,2,0
run_571,DONE,14,5,2,2
run_572,DONE,14,6,2,0
run_573,DONE,14,6,2,2
run_574,DONE,14,7,2,0
run_575,DONE,14,7,2,2
run_576,DONE,14,8,2,0
run_577,DONE,14,8,2,2
run_578,DONE,14,9,2,0
run_579,DONE,14,9,2,2
run_580,DONE,14,10,2,0
run_581,DONE,14,10,2,2
run_582,DONE,14,11,2,0
run_583,DONE,14,11,2,2
run_584,DONE,14,12,2,0
run_585,DONE,14,12,2,2
run_586,DONE,14,13,2,0
run_587,DONE,14,13,2,2
run_588,DONE,14,14,2,0
run_589,DONE,14,14,2,2
run_590,DONE,14,15,2,0
run_591,DONE,14,15,2,2
run_592,DONE,14,16,2,0
run_593,DONE,14,16,2,2
run_594,DONE,14,17,2,0
run_595,DONE,14,17,2,2
run_596,DONE,14,18,2,0
run_597,DONE,14,18,2,2
run_598,DONE,14,19,2,0
run_599,DONE,14,19,2,2
run_600,DONE,15,0,2,0
run_601,DONE,15,0,2,2
run_602,DONE,15,1,2,0
run_603,DONE,15,1,2,2
run_604,DONE,15,2,2,0
run_605,DONE,15,2,2,2
run_606,DONE,15,3,2,0
run_607,DONE,15,3,2,2
run_608,DONE,15,4,2,0
run_609,DONE,15,4,2,2
run_610,DONE,15,5,2,0
run_611,DONE,15,5,2,2
run_612,DONE,15,6,2,0
run_613,DONE,15,6,2,2
run_614,DONE,15,7,2,0
run_615,DONE,15,7,2,2
run_616,DONE,15,8,2,0
run_617,DONE,15,8,2,2
run_618,DONE,15,9,2,0
run_619,DONE,15,9,2,2
run_620,DONE,15,10,2,0
run_621,DONE,15,10,2,2
run_622,DONE,15,11,2,0
run_623,DONE,15,11,2,2
run_624,DONE,15,12,2,0
run_625,DONE,15,12,2,2
run_626,DONE,15,13,2,0
run_627,DONE,15,13,2,2
run_628,DONE,15,14,2,0
run_629,DONE,15,14,2,2
run_630,DONE,15,15,2,0
run_631,DONE,15,15,2,2
run_632,DONE,15,16,2,0
run_633,DONE,15,16,2,2
run_634,DONE,15,17,2,0
run_635,DONE,15,17,2,2
run_636,DONE,15,18,2,0
run_637,DONE,15,18,2,2
run_638,DONE,15,19,2,0
run_639,DONE,15,19,2,2
run_640,DONE,16,0,2,0
run_641,DONE,16,0,2,2
run_642,DONE,16,1,2,0
run_643,DONE,16,1,2,2
run_644,DONE,16,2,2,0
run_645,DONE,16,2,2,2
run_646,DONE,16,3,2,0
run_647,DONE,16,3,2,2
run_648,DONE,16,4,2,0
run_649,DONE,16,4,2,2
run_650,DONE,16,5,2,0
run_651,DONE,16,5,2,2
run_652,DONE,16,6,2,0
run_653,DONE,16,6,2,2
run_654,DONE,16,7,2,0
run_655,DONE,16,7,2,2
run_656,DONE,16,8,2,0
run_657,DONE,16,8,2,2
run_658,DONE,16,9,2,0
run_659,DONE,16,9,2,2
run_660,DONE,16,10,2,0
run_661,DONE,16,10,2,2
run_662,DONE,16,11,2,0
run_663,DONE,16,11,2,2
run_664,DONE,16,12,2,0
run_665,DONE,16,12,2,2
run_666,DONE,16,13,2,0
run_667,DONE,16,13,2,2
run_668,DONE,16,14,2,0
run_669,DONE,16,14,2,2
run_670,DONE,16,15,2,0
run_671,DONE,16,15,2,2
run_672,DONE,16,16,2,0
run_673,DONE,16,16,2,2
run_674,DONE,16,17,2,0
run_675,DONE,16,17,2,2
run_676,DONE,16,18,2,0
run_677,DONE,16,18,2,2
run_678,DONE,16,19,2,0
run_679,DONE,16,19,2,2
run_680,DONE,17,0,2,0
run_681,DONE,17,0,2,2
run_682,DONE,17,1,2,0
run_683,DONE,17,1,2,2
run_684,DONE,17,2,2,0
run_685,DONE,17,2,2,2
run_686,DONE,17,3,2,0
run_687,DONE,17,3,2,2
run_688,DONE,17,4,2,0
run_689,DONE,17,4,2,2
run_690,DONE,17,5,2,0
run_691,DONE,17,5,2,2
run_692,DONE,17,6,2,0
run_693,DONE,17,6,2,2
run_694,DONE,17,7,2,0
run_695,DONE,17,7,2,2
run_696,DONE,17,8,2,0
run_697,DONE,17,8,2,2
run_698,DONE,17,9,2,0
run_699,DONE,17,9,2,2
run_700,DONE,17,10,2,0
run_701,DONE,17,10,2,2
run_702,DONE,17,11,2,0
run_703,DONE,17,11,2,2
run_704,DONE,17,12,2,0
run_705,DONE,17,12,2,2
run_706,DONE,17,13,2,0
run_707,DONE,17,13,2,2
run_708,DONE,17,14,2,0
run_709,DONE,17,14,2,2
run_710,DONE,17,15,2,0
run_711,DONE,17,15,2,2
run_712,DONE,17,16,2,0
run_713,DONE,17,16,2,2
run_714,DONE,17,17,2,0
run_715,DONE,17,17,2,2
run_716,DONE,17,18,2,0
run_717,DONE,17,18,2,2
run_718,DONE,17,19,2,0
run_719,DONE,17,19,2,2
run_720,DONE,18,0,2,0
run_721,DONE,18,0,2,2
run_722,DONE,18,1,2,0
run_723,DONE,18,1,2,2
run_724,DONE,18,2,2,0
run_725,DONE,18,2,2,2
run_726,DONE,18,3,2,0
run_727,DONE,18,3,2,2
run_728,DONE,18,4,2,0
run_729,DONE,18,4,2,2
run_730,DONE,18,5,2,0
run_731,DONE,18,5,2,2
run_732,DONE,18,6,2,0
run_733,DONE,18,6,2,2
run_734,DONE,18,7,2,0
run_735,DONE,18,7,2,2
run_736,DONE,18,8,2,0
run_737,DONE,18,8,2,2
run_738,DONE,18,9,2,0
run_739,DONE,18,9,2,2
run_740,DONE,18,10,2,0
run_741,DONE,18,10,2,2
run_742,DONE,18,11,2,0
run_743,DONE,18,11,2,2
run_744,DONE,18,12,2,0
run_745,DONE,18,12,2,2
run_746,DONE,18,13,2,0
run_747,DONE,18,13,2,2
run_748,DONE,18,14,2,0
run_749,DONE,18,14,2,2
run_750,DONE,18,15,2,0
run_751,DONE,18,15,2,2
run_752,DONE,18,16,2,0
run_753,DONE,18,16,2,2
run_754,DONE,18,17,2,0
run_755,DONE,18,17,2,2
run_756,DONE,18,18,2,0
run_757,DONE,18,18,2,2
